happy,gdp,life_expectancy,infant_mortality,pressfreedom,corruption,inequality,crime
5.195000172,30624.17469,81.52195122,2.9,15.77,62,35.6,1
5.849999905,26031.00442,74.12439024,3.9,18.62,57,35.1,4.1
5.429999828,7806.211272,69.00985366,21.5,41.08,35,4.1,9.8
5.235000134,7837.904438,75.52014634,23.3,42.42,37,4.7,1
5.175000191,15121.25165,75.52431707,10.7,35.74,37,35.6,1.6
4.644000053,11928.53656,78.20314634,12,29.92,39,29,2.3
5.18200016,12074.75236,76.64029268,5.2,27.71,39,33.8,1.5
5.230000019,15208.91378,73.70368293,25.5,26.76,31,44.9,17.4
4.954999924,12220.39348,69.11587805,15.4,28.95,38,32,7.2
5.227000237,26783.02457,81.58780488,3.1,30.89,44,35.8,0.8
5.224999905,13995.65225,79.4982439,6.9,32.9,28,31.8,3.9
5.323999882,26680.5941,75.96097561,4.4,29.01,48,3.9,1.5
5.181000233,4738.079453,73.32460976,16,42.54,30,5.1,63.8
5.040999889,2980.090352,71.00712195,37.1,50.27,25,34,1.4
4.804999828,11598.54859,75.49704878,11.7,32.22,41,35.8,3.1
4.607999802,3580.694128,72.22160976,28.2,47.19,26,32.1,2.5
4.096000195,8271.779979,71.1895122,7.8,28.88,29,25.5,4.4
4.497000217,17353.47924,69.63460976,25.9,51.22,17,29.5,66.1
4.828999996,13225.43723,61.93409756,34.2,20.12,45,63.4,34.3
4.119999886,4293.57285,62.4072439,41.2,17.95,43,42.2,1.7
3.875,2006.374724,60.27934146,40,41.41,22,43.2,6.7
3.532999992,812.8867372,61.98021951,51.2,31.12,37,33.2,3.2
4.315000057,6572.336719,68.33260976,34.6,39.42,40,35.2,3.2
4.138999939,4730.292058,64.22941463,44.8,73.56,14,35.4,6.5
3.602999926,1784.182184,63.01078049,50.9,26.36,20,4.9,10
4.28000021,800.7515654,59.17321951,72,52.67,21,42.1,13.4
4.961999893,2467.841139,69.86985366,28.4,33.02,29,32.8,2.3
4.460000038,1734.918233,65.00829268,41,47.23,34,33.2,7.6
4.709000111,1473.403805,51.41285366,83.3,30.73,30,34,1.9
4.291999817,3853.534663,63.04636585,54.4,26.26,27,32.4,10.2
4.552999973,3155.94041,66.64565854,35.6,27.51,26,48.5,5.8
4.375999928,8817.953996,74.20619512,11.9,30.38,33,32.4,2.5
3.766000032,16734.85198,65.75109756,32.6,24.93,60,6.5,10.5
4.545000076,5772.895394,66.38563415,40.1,41.82,28,38.1,2.4
4.285999775,9996.935415,72.96612195,9.5,27.76,57,38.5,2.7
3.970000029,1169.313739,62.54336585,38.9,28.97,31,46.1,1.8
4.440000057,12316.16411,74.98895122,8,44.34,36,39.2,2.9
4.695000172,3285.731599,57.5575122,52.8,41.59,26,46.5,5.9
4.714000225,19199.07115,74.46585366,6.5,35.01,41,37.4,1.8
4.735000134,11131.71648,71.29565854,19.4,52.71,34,31.8,3.2
3.592999935,2508.128228,64.72568293,43.2,65.36,14,36.7,6.7
3.795000076,6499.067104,61.18934146,54.6,40.42,18,42.7,9.6
4.190000057,2117.218178,57.45770732,68,38.27,32,33,10.8
4.290999889,5718.788841,64.09073171,38.5,36.73,20,48.9,10.1
4.080999851,1848.786757,59.5087561,37.7,33.88,25,41,11.8
4.534999847,2567.80042,66.66143902,33.6,26.72,45,4.3,7.3
4.465000153,18107.59942,65.68441463,34.3,34.56,35,42.2,9
4.027999878,978.4021911,59.68187805,50.9,27.21,35,34,4.5
4.168000221,3735.478623,68.47204878,26.3,42.07,21,34.93251534,1.8
3.348999977,2786.666719,64.90331707,40.3,30.65,32,37.8,7
3.644000053,1506.009345,65.50782927,34,26.71,26,42.7,0.6
3.936000109,1991.247916,52.55395122,75.2,39.66,20,43.3,9
3.506999969,1310.687204,59.39895122,58.3,30,27,33.7,8.5
